RK,NAME,TEAM,POS,GMS,PTS,REB,AST,BLK,STL,FGP,FTP,3PP,FTM,2PM,3PM,TO,MIN,DD2,TD3,FPTS
311,Charlie Villanueva,DAL,PF,62,319,152,24,15,18,38.1,91.7,27.2,22,78,47,31,665,0,0,572.4
312,Gary Neal,WAS,PG,40,390,83,47,1,20,46.6,85.5,41.4,47,110,41,30,807,0,0,572.1
313,Mo Williams,CLE,PG,41,338,72,98,5,14,43.7,90.5,35.3,38,96,36,57,747,0,0,552.4
314,DeMarre Carroll,TOR,SF,26,286,121,26,6,44,38.9,60,39,30,59,46,29,786,0,0,541.2
315,Tim Hardaway Jr.,ATL,SF,51,326,85,51,7,21,43.2,89.3,34,50,66,48,23,864,0,0,537.5
316,Jonathon Simmons,SA,SF,55,331,95,58,5,24,50.6,75,38.3,69,104,18,53,812,0,0,537
317,Pablo Prigioni,LAC,PG,59,145,114,130,1,53,37.4,87.5,29.5,7,27,28,49,822,0,0,535.8
318,Anthony Morrow,OKC,SG,68,380,62,24,5,22,40.8,74.4,38.5,29,57,79,17,926,0,0,527.4
319,Norman Powell,TOR,SF,49,273,111,47,10,29,42.4,81.1,40.9,43,61,36,32,725,0,0,522.7
320,Rondae Hollis-Jefferson,BKN,SF,29,167,154,43,16,39,45.7,71.2,28.6,37,59,4,26,615,2,0,500.3
321,Chris Johnson,UTA,SG,70,205,132,45,20,32,37.1,81,27.3,34,45,27,40,856,0,0,494.9
322,Justin Holiday,CHI,SG,53,239,90,56,19,32,38.6,73,34.3,27,52,36,39,772,0,0,494
323,Seth Curry,SAC,SG,44,299,60,67,3,22,45.5,83.3,45,45,52,50,36,691,1,0,485.5
324,Kyle Singler,OKC,SF,68,231,141,24,9,30,38.9,65.9,30.9,29,56,30,32,977,0,0,482.2
325,Johnny O'Bryant,MIL,PF,66,200,175,31,8,18,41.1,67.5,100,27,85,1,31,857,0,0,477.5
326,Justin Anderson,DAL,SG,55,208,133,29,25,19,40.3,80,26.5,44,49,22,24,646,1,0,475.1
327,Kevin Garnett,MIN,PF,38,122,150,62,10,28,47,66.7,0,14,54,0,16,555,0,0,455
328,Kevin Seraphin,NY,C,48,187,126,47,36,8,41,82.6,0,19,84,0,43,526,0,0,453.7
329,Sean Kilpatrick,BKN,SG,31,345,56,29,2,12,45.6,89.6,34.2,60,84,39,31,616,0,0,452.7
330,Andrea Bargnani,BKN,C,46,304,97,18,9,4,45.7,82.5,20,47,124,3,26,633,0,0,447.4
331,Tyler Ennis,MIL,PG,46,206,75,96,1,25,44.9,73.5,33.3,25,71,13,46,654,0,0,446
332,Rashad Vaughn,MIL,SG,70,220,88,38,16,29,30.8,80,29.9,12,38,44,28,1000,0,0,444.6
333,Beno Udrih,MIA,PG,44,205,72,115,1,14,43.7,90,34.1,18,71,15,53,707,1,0,440.9
334,Mike Muscala,ATL,PF,59,195,117,34,27,13,50,79.5,30.8,31,64,12,27,564,0,0,439.4
335,Kelly Oubre Jr.,WAS,SF,63,236,133,13,7,22,42.7,63.3,31.6,31,65,25,34,671,0,0,439.1
336,J.J. Hickson,WAS,C,35,206,132,23,14,15,51.6,44.7,0,46,80,0,25,436,2,0,431.9
337,Tiago Splitter,ATL,C,36,201,121,30,12,20,52.3,81.2,0,39,81,0,24,579,0,0,431.2
338,Ian Clark,GS,SG,66,236,68,64,13,17,44.1,82.4,35.7,28,59,30,43,578,0,0,430.6
339,Donatas Motiejunas,HOU,PF,37,230,108,41,5,17,43.9,64.2,28.1,34,74,16,44,546,0,0,421.1
340,Nick Collison,OKC,PF,59,123,171,52,16,15,45.9,69.7,0,23,50,0,50,699,0,0,418.2
341,Josh McRoberts,MIA,PF,42,150,105,81,7,18,37.2,70,24.5,28,43,12,30,594,1,0,417.5
342,Shabazz Napier,ORL,PG,55,203,55,97,1,23,33.8,73.3,32.7,33,34,34,46,599,0,0,416.5
343,Michael Beasley,HOU,SF,20,255,98,16,9,11,52.2,77.6,33.3,38,104,3,24,362,1,0,412.6
344,Tyus Jones,MIN,PG,37,156,47,108,3,31,35.9,71.8,30.2,28,40,16,33,572,0,0,409.4
345,Mike Dunleavy,CHI,SG,31,222,83,39,10,14,41,78.4,39.4,29,38,39,26,702,0,0,402.1
346,Willie Reed,BKN,C,39,182,122,10,30,6,57.1,54.5,0,30,76,0,16,425,0,0,399.4
347,Jason Thompson,TOR,PF,47,147,133,29,20,12,48.1,70.4,33.3,38,47,5,15,471,0,0,399.1
348,Anderson Varejao,GS,C,53,138,141,35,10,16,42.7,64,0,32,53,0,22,495,0,0,389.7
349,Tarik Black,LAL,PF,39,133,157,16,18,14,54.3,42.2,0,19,57,0,22,495,0,0,387.4
350,C.J. Watson,ORL,PG,33,142,67,89,5,19,34.3,87.2,29.2,34,33,14,25,655,0,0,378.9
351,JaVale McGee,DAL,C,34,172,133,3,26,5,57.5,50,0,18,77,0,21,369,1,0,377.1
352,Metta World Peace,LAL,SF,35,176,89,27,11,22,31.1,70.2,31,40,29,26,15,589,0,0,374.3
353,James Anderson,SAC,SG,51,179,86,41,14,21,37.6,75.9,26.7,22,44,23,42,721,0,0,371.7
354,Ryan Kelly,LAL,PF,36,152,121,20,10,13,36.9,68.5,13.5,37,50,5,18,469,0,0,355.2
